,Bass,Acid Bass,PW 25%,0,0,10,70.00%,-12.0,Square,,-2,,-10,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,450,45.00%,330,40.00%,60.00%,0.00%,,,,,0,0.45,0.15,0.26
,Bass,Bass of the Time Lords,PW 30%,-2,,,100.00%,0.0,PW 30%,,-1,,-10,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,40,10.00%,40,10.00%,0.00%,85.00%,0,0.25,25,0.25,0,0.65,0,0.7
,Bass,Detroit Bass,Square,-1,,,100.00%,0.0,Sawtooth,,-2,,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,TRUE,0.01,FALSE,Mono,"20,000",100.00%,"20,000",100.00%,0.00%,0.00%,,,,,0,max,100.00%,0
,Bass,Deutsche Bass,PW 25%,-2,,,100.00%,0.0,Sawtooth,,-1,-3,,100.00%,0.0,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,800,53.00%,500,46.00%,35.00%,50.00%,0,0.15,0.00%,0.15,0,max,100.00%,0.15
,Bass,Digital Bass,Square,-1,,,85.00%,-6.0,Sawtooth,,-2,,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,122,26.00%,75,19.00%,0.00%,100.00%,0,0.15,0.00%,0,0,max,100.00%,1
,Bass,Funk Bass,Sawtooth,-2,,,100.00%,0.0,PW 30%,,-1,,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,TRUE,0.02,FALSE,Mono,40,10.00%,40,10.00%,50.00%,85.00%,0.15,0.1,45.00%,0.08,0,0.29,30.00%,0.4
,Bass,Growling Bass,Square,-2,,,100.00%,0.0,Sawtooth,,,-9,,100.00%,0.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,Mono,122,26.00%,75,19.00%,0.00%,100.00%,0,0.5,20.00%,0.6,0,max,100.00%,0.6
,Bass,Rez Bass,Square,-2,,,100.00%,0.0,Square,-2,,,,100.00%,0.0,TRUE,TRUE,FALSE,,Pitch Osc2,Triangle/Sine,10,,30 cents,FALSE,0.08,FALSE,Mono,"6,500",84.00%,"6,500",84.00%,50.00%,0.00%,,,,,0,max,100.00%,0.1
,Brass,French Horn,PW 10%,,,,100.00%,0.0,None,,,,,0.00%,-40.0,FALSE,FALSE,FALSE,,None,None,,,,,,,,40,10.00%,40,10.00%,20.00%,45.00%,0.05,5.76,9.00%,0.39,0,3.9,96.00%,0.93
,Brass,Harmonica,PW 2%,,,,75.00%,-11.0,PW 15%,,,8,7,100.00%,0.0,TRUE,TRUE,FALSE,,PW Osc1,Triangle,1.6,85.00%,,FALSE,,FALSE,Multi,"1,900",66.00%,"1,200",59.00%,0.00%,65.00%,0.16,max,100.00%,0.16,0.13,0.33,50.00%,0.14
,Brass,Penny Whistle,Square,,,,100.00%,0.0,Triangle,,2,,,85.00%,-7.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,90,5.00%,,TRUE,0.04,FALSE,Multi,"1,100",58.00%,800,53.00%,80.00%,77.00%,0.11,max,100.00%,max,0.11,max,100.00%,0.57
,Brass,Saxophone,PW 30%,,,,100.00%,0.0,PW 45%,,,8,,75.00%,-9.6,TRUE,TRUE,FALSE,,Pitch Osc1/Osc2,Sine,7.5,,10 cents,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0.00%,90.00%,0.14,0.37,78.00%,max,0,max,100.00%,0.3
,Brass,Trombone,Sawtooth,,,,100.00%,0.0,Triangle,,1,,,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,5,5.00%,,FALSE,,FALSE,Multi,900,55.00%,200,33.00%,0.00%,30.00%,0.11,max,100.00%,0.18,0.06,max,100.00%,0.5
,Brass,Trumpet,Sawtooth,,,,100.00%,0.0,Sawtooth,,1,,,65.00%,-14.4,TRUE,FALSE,FALSE,,Amplitude,Triangle,7.5,5.00%,,FALSE,,FALSE,Multi,50,13.00%,40,10.00%,15.00%,75.00%,0.08,max,100.00%,0.19,0,max,100.00%,0.19
,Brass,Tuba,Sawtooth,,,,85.00%,-6.0,Sawtooth,,-1,,,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,2.4,5.00%,,FALSE,,FALSE,Multi,40,10.00%,40,10.00%,0,60.00%,0.7,max,100.00%,0.11,0.03,max,100.00%,0.11
,Keyboards,Accordion,PW 10%,,,,100.00%,0.0,PW 10%,,,,15,100.00%,0.0,TRUE,FALSE,FALSE,,Amplitude,Triangle,13,5.00%,,FALSE,,FALSE,Multi,"8,200",87.00%,"6,000",82.00%,0.00%,0.00%,,,,,0.18,max,100.00%,0.18
,Keyboards,Celeste,Triangle,,,,100.00%,0.0,None,,,,,0.00%,-40.0,TRUE,FALSE,FALSE,,None,None,,,,FALSE,,FALSE,All,"1,200",59.00%,500,46.00%,0.00%,100.00%,0,0.07,45.00%,2.1,0,2.1,0.00%,2.1
,Keyboards,Clavichord,Sawtooth,,,,100.00%,0.0,Sawtooth,,1,4,,100.00%,0.0,TRUE,TRUE,FALSE,,Pitch,Triangle,1,,15 cents,FALSE,,FALSE,Multi,"1,800",65.00%,"1,000",57.00%,0.00%,70.00%,0,0.1,65.00%,max,0,1.9,0.00%,0.35
,Keyboards,Electric Piano,Sawtooth,,,,100.00%,0.0,PW 5%,,2,9,,100.00%,0.0,TRUE,TRUE,FALSE,,None,None,,,,FALSE,,FALSE,Multi,630,50.00%,275,38.00%,0.00%,50.00%,0,0.33,50.00%,max,0,5.14,0.00%,0.66
